Gnai3	175.00
Pbsn	0.00
Cdc45	5.00
H19	0.00
Scml2	22.00
Apoh	0.00
Narf	341.00
Cav2	54.00
Klf6	346.00
Scmh1	857.00
Cox5a	74.39
Tbx2	3.00
Tbx4	0.00
Zfy2	0.00
Ngfr	3.00
Wnt3	8.00
Wnt9a	118.00
Fer	218.00
Xpo6	1365.00
Tfe3	352.00
Axin2	272.00
Brat1	157.00
Gna12	99.16
Slc22a18	0.00
Itgb2l	0.00
Igsf5	0.00
Pih1d2	42.40
Dlat	310.00
Sdhd	139.00
Fgf23	21.00
Fgf6	0.00
Ccnd2	499.04
Gpr107	693.25
Nalcn	853.00
Btbd17	11.00
Slfn4	0.00
Th	1.00
Ins2	0.00
Scnn1g	8.00
Drp2	1877.00
Tspan32	6.00
Lhx2	251.00
Clec2g	3.00
Gmpr	112.00
Glra1	2.00
Mid2	114.00
Trim25	22.00
Dgke	920.31
Scpep1	115.36
Mnt	285.00
Itgb2	3.00
Hddc2	47.00
Tpd52l1	62.00
Pemt	13.00
Cdh1	0.00
Cdh4	146.00
Ckmt1	432.00
Bcl6b	21.00
Clec10a	1.00
Alox12	8.02
Arvcf	241.38
Comt	292.98
Rtca	245.66
Dbt	41.00
Dazap2	318.00
Mcts1	89.00
Rem1	0.00
Rnf17	8.00
Trappc10	386.00
Ccm2	139.00
Wap	7.00
Tbrg4	254.00
Tmprss2	1.00
Mx1	6.00
Fap	107.00
Gcg	2.00
Ndufa9	159.24
Egfl6	6.00
Lck	8.00
Tssk3	2.00
Cttnbp2	4953.03
Galnt1	503.00
Myf5	0.00
Mkrn2	426.85
Pparg	179.00
Raf1	910.61
Sept1	27.00
Pdgfb	143.00
Acvrl1	8.00
Grasp	206.00
Acvr1b	1062.00
Tom1l2	1532.21
Gpa33	0.00
Zfp385a	250.00
Itga5	71.00
Gabra2	627.00
Wdr77	373.96
Adora3	6.07
Atp5f1	257.70
Sox9	67.00
Hnrnpd	725.24
Dynlt1c	377.94
C1d	47.00
Gm2a	73.00
Krit1	1847.00
Clcn4	592.50
Vmn2r88	0.00
Grm6	0.00
Sema4f	996.00
Hk2	7.00
Myo18a	1298.00
Sez6	1031.00
Haao	1.00
Cd52	5.00
Abhd15	11.17
Hoxb6	2.00
Loxl3	42.66
Tcl1b5	0.00
Btn1a1	0.00
Kat2b	75.00
Rab5b	295.00
Cryba1	11.00
Dnmt3l	1.00
Aire	2.00
Icosl	6.00
Spg7	433.00
Sult5a1	0.00
Rpl13	167.37
Chmp1a	132.00
Rpa1	73.00
Serpinf1	17.00
Tubgcp3	795.00
Oprm1	87.51
Polr3d	79.00
Tcf7	20.00
Ddx3x	735.00
Il12rb1	3.00
Slc5a5	37.00
Kcnn3	275.00
Usp32	855.00
Car4	339.00
Txnrd3	23.00
Fasl	2.00
Zfp512b	1556.28
Dnajc5	1130.00
Tpd52l2	323.00
Fmr1	468.53
Bcl11a	2003.38
Il4	28.00
Pxmp4	64.00
Dlg3	648.00
Gnb1l	12.00
Dbh	3.00
Mmp11	16.00
Smarcb1	434.00
Vpreb3	1.00
Hip1r	366.71
Nsun5	427.71
Top1mt	72.86
Hoxa10	0.00
Hoxa4	0.00
Gm38393	1283.83
Mmp14	6.00
Slc7a7	13.14
Oxa1l	231.86
Heatr6	436.00
Ccl3	0.00
Wfdc18	1.00
Icam4	10.00
Ilf2	416.06
Chtop	720.69
Snapin	272.51
S100a4	0.00
S100a3	7.00
S100a5	0.00
S100a6	10.00
Scn4a	0.00
Icam2	1.00
Mapk7	287.95
Epn2	909.00
B9d1	124.00
Sec24b	1259.00
N4bp3	13.00
Rmnd5b	284.00
Nhp2	24.00
Vps9d1	867.76
Zfp276	337.43
C1ql4	0.00
Mfsd10	247.00
Luzp1	679.00
Slc13a2	0.00
Kctd10	307.57
Poldip2	313.00
Sebox	4.00
Ift20	583.00
Col6a1	1310.00
Pcbp3	186.00
Lgals9	0.00
Araf	750.00
Cfp	372.00
Timp1	21.00
Uxt	32.00
Cnnm3	407.00
Lman2l	359.00
Mcm3ap	569.58
Pcnt	274.48
Ftcd	3.00
Mxd1	273.00
Gmcl1	606.09
Snrnp27	55.00
Oas1c	13.00
Oas1h	1.00
Ocrl	805.00
Calm1	6908.43
Agpat3	934.00
Slc26a3	1.00
Sema6b	356.00
Uhrf1	5.08
Dpp9	334.00
Ramp2	8.00
Lsr	15.46
Gramd1a	1583.46
Hpn	59.00
Gabrg1	20.00
Ckb	1916.74
Sp1	488.72
Itgb7	9.00
Myg1	286.00
Rarg	59.00
Pfdn5	143.00
Efnb2	503.00
Rrp15	119.00
Rnd2	41.05
Srr	657.71
Sync	24.23
Fndc5	187.00
Acp5	1.00
Cnn1	13.00
Fbxo9	219.00
Vps50	628.60
Hars	186.16
Zmat2	266.00
Ube2c	3.70
Smg5	710.00
Cct3	183.00
Glmp	154.07
Mef2d	2154.41
Tmem79	4.00
Snd1	516.00
Col18a1	7.00
Slc19a1	190.00
Kpnb1	2141.00
Npepps	738.00
Tbx21	0.00
Mrpl10	54.07
Cyp51	349.35
Tcf25	2847.00
Tubb6	51.22
Def8	119.00
Meox1	0.00
Sost	0.00
Nkx2-1	0.00
Pax9	9.00
Irx2	0.00
Col1a1	11.00
Itga3	187.00
Sgca	0.00
Dlx3	0.00
Foxm1	23.67
Itfg2	203.38
Nrip2	145.00
Tulp3	334.00
Gtf2h4	142.00
Tubb5	546.61
Ell2	367.68
Jup	126.00
Fkbp10	6.00
Klhl10	16.00
Mnx1	0.00
Nom1	245.00
Ergic1	573.00
Tnk1	5.66
Acap1	0.00
Tcea3	0.00
Csn3	1.00
Ifrd1	246.75
Stk38l	305.37
Brpf1	496.82
Akr1b3	118.96
Hoxc13	0.00
Hoxc11	0.00
Hoxc8	1.01
Hoxc6	0.00
Gstt1	14.00
Gstt3	1.00
Ddt	17.00
Tat	0.00
Marveld3	13.00
Ddx18	181.25
Ubl3	634.00
Gramd3	30.00
Eef1e1	22.00
Akt1	174.00
Cldn15	5.00
Il16	4.63
Tcirg1	46.00
Naglu	36.00
Coasy	176.00
Smo	7.00
Tspan33	152.00
Crnkl1	135.91
Rin2	45.00
Folh1	1.00
Chordc1	267.00
Rtcb	247.00
Pwp1	113.00
Fbxo7	331.85
Capns1	539.00
Lrp3	557.37
Dsg4	0.00
Evx2	0.00
Hoxd13	0.00
Hoxd12	0.00
Folr1	4.00
Clpb	434.00
Sept7	475.00
Zdhhc4	226.00
Rac1	844.89
Nup214	893.89
Aif1l	3.00
Cpa3	0.00
Ltbp1	66.00
Ugp2	95.00
Kcnh6	43.00
Trmt1	1389.00
Nacc1	486.42
Nfix	1128.55
Slc1a5	1.00
Uba1	1105.00
Vwf	9.00
Siae	312.00
Vsig2	110.00
Esam	34.00
Spa17	15.00
Fam50a	201.00
Emd	76.00
Taco1	31.64
Grik3	955.00
Gria3	6928.11
Npas1	5.00
Sipa1l2	254.00
Ap4e1	297.81
Blvra	82.00
Pdzd4	247.44
Srpk3	146.00
Idh3g	1590.00
Pnck	302.00
Ssr4	365.00
Bcap31	127.00
Fam98a	376.00
Ltbp2	13.00
Kmt2a	10237.00
Ift46	162.32
Tmem25	790.00
Cd3g	0.00
Trappc6a	7.00
Supt6	1535.83
Spag5	554.00
Foxn1	0.00
Unc119	37.00
Rab34	63.00
Sdf2	149.17
Ccne1	75.00
Hsf2bp	2.00
Bbc3	15.00
Mybpc3	4.00
Psmc3	353.00
Acp2	716.85
Rapsn	3.00
Slc39a13	324.00
Celf2	11030.90
Nr1h3	15.00
Ddb2	228.15
Spi1	2.00
Sf3a1	491.00
Stat6	95.00
Clgn	175.00
Napsa	20.00
Vrk3	140.78
Smg9	352.00
Paxip1	690.00
Rmnd5a	521.00
Mov10	387.00
Ppm1j	5.00
Rhoc	9.00
Prr27	1.00
Tead3	0.00
Ppard	85.00
Def6	5.00
